avgBuildLatency,timeFlag,ageAtCD,totalBuilds,nIssuesOfDockerfile,nLinesOfDockerfile,totalCommits,workflow,baseImage
1.55416923,2,200.961,0,4,16,762,Circle,alpine-glibc
1.55556667,0,500.114,0,6.6667,26.5,173,Travis,python
1.564165,0,30.8876,0,1,8,58,Travis,java
1.5667,4,30.8876,0,1,8,58,Travis,java
1.5667,7,0.0455,11,1,6,4,Docker,alpine
1.56968182,5,29.8851,0,0,6,102,Circle,busybox
1.570825,14,0.0035,243,1,19.6667,27,Docker,alpine
1.57334,9,191.968,0,4,11,209,Travis,debian
1.575,13,274.265,0,1.5,4.5,71,Circle,nginx
1.5833,0,0.0018,162,2,5,9,Docker,systemd
1.5833,0,0.0253,12,2,11,8,Docker,alpine
1.5833,0,123.565,0,0,6.6,52,Circle,node
1.5833,10,690.974,0,1,2,302,Travis,viws
1.58335,7,690.974,0,1,2,302,Travis,viws
1.58834,4,618.774,0,1.7143,14.7143,418,Circle,busybox
1.58846923,4,72.4841,0,0,5,205,Circle,alpine
1.59102308,3,39.0562,0,2,14,701,Circle,slidehub-base
1.5917,3,0.0595,0,2,7,135,Circle,node
1.59998,0,274.265,0,1.5,4.5,71,Circle,nginx
1.6,2,0.084,11,0,4,5,Docker,influxdb
1.6026822,4,200.961,0,3,12,762,Circle,alpine-glibc
1.60371111,17,13.8373,0,1,12.3333,75,Circle,node
1.60835,0,15.4399,0,3.2,9.2,100,Travis,alpine
1.60835,14,1.8103,0,0,12.6667,54,Circle,node
1.61040625,12,3.4829,0,4.2857,42.4286,222,Circle,base-jdk
1.6125,2,0.0155,0,1,17,9,Travis,rpi-alpine
1.61665,15,690.974,0,1,2,302,Travis,viws
1.6167,19,170.01,0,3.15,21.8,277,Circle,ubuntu
1.61905,0,0.0058,356,3.8333,15.3333,31,Docker,debian
1.62093688,5,200.961,0,3,12,762,Circle,alpine-glibc
1.6222,3,20.9747,0,2,8.5,69,Circle,alpine
1.6284561,0,20.9747,0,2,7,69,Circle,alpine
1.629175,0,37.405,0,2,4,47,Circle,busybox
1.6333,2,0.0171,12,2,19.4,9,Docker,alpine
1.6333,2,13.0814,0,0,12,49,Circle,alpine-ruby
1.63333333,14,0.0081,19,2,5.5,4,Docker,tools
1.63336667,8,191.968,0,4,11,209,Travis,debian
1.64236458,4,432.097,0,1,10,393,Travis,python
1.64443333,1,0.0026,21,0,8.75,18,Docker,alpine
1.64627778,2,30.8876,0,1,8,58,Travis,java
1.64852,2,194.171,0,2,5.3333,376,Travis,alpine-java
1.65,8,690.974,0,1,2,302,Travis,viws
1.65,11,0.5561,0,1,77.75,140,Travis,apache-php
1.65,11,191.968,0,4,11,209,Travis,debian
1.65835,1,218.159,0,2,18,211,Travis,haproxy
1.65835,11,0.0164,108,1,11,16,Docker,alpine
1.65972167,8,13.8373,0,1,12.3333,75,Circle,node
1.66136364,0,0.159,0,3,7,80,Circle,alpine
1.66334,12,1.8103,0,0,12.6667,54,Circle,node
1.665275,1,500.114,0,6.6667,26.5,173,Travis,python
1.6667,2,13.8373,0,2,9,75,Circle,node
1.66695965,12,200.961,0,3,15,762,Circle,alpine-glibc
1.6692493,1,39.0562,0,2,14,701,Circle,slidehub-base
1.67418387,0,0.0156,46,6.2308,36.8462,36,Docker,alpine
1.675,2,427.177,0,1,18.8571,300,Travis,node
1.683325,2,28.0398,0,1.3333,5,91,Circle,alpine
1.685336,7,0.0059,196,1.3333,4,5,Docker,alpine
1.69147143,3,200.961,0,4,16,762,Circle,alpine-glibc
1.6917,6,0.0097,48,2,3,54,Docker,cedarish
1.7,5,0.1,13,4,5,18,Docker,dind
1.7,5,314.648,50,3,16,45,Docker,alpine
1.7,10,191.968,0,4,11,209,Travis,debian
1.7,13,200.961,0,3,15,762,Circle,alpine-glibc
1.7,14,0.1397,0,1,70,22,Travis,alpine
1.704995,0,212.258,0,0.8333,3.6667,155,Circle,nginx
1.70908182,0,701.089,0,8.1667,9.5,832,Travis,golang
1.7124875,5,191.968,0,4,11,209,Travis,debian
1.71270476,0,761.761,0,8.3333,8.8333,436,Travis,golang
1.71666667,3,123.565,0,0,6.6,52,Circle,node
1.7167,2,0.0464,0,4,13,43,Circle,alpine
1.71851111,0,10.0257,29,1.2308,13.6154,22,Docker,nginx
1.72584,1,19.93,0,2.6,13.6,88,Circle,alpine
1.72888667,6,0.139,0,2.4615,11.0769,14,Travis,alpine
1.73,2,0.0715,27,3,9,12,Docker,mongodb-mms-agent-base
1.7303,4,29.8851,0,0,6,102,Circle,busybox
1.7333,1,97.8665,0,0,18,52,Circle,alpine
1.7333,2,1.2714,13,4,11,8,Docker,ubuntu
1.7333,3,30.8876,0,1,8,58,Travis,java
1.7333,14,642.134,0,0.25,5,239,Circle,java
1.73335,12,690.974,0,1,2,302,Travis,viws
1.7389,1,37.405,0,2,4,47,Circle,busybox
1.75,6,0.0006,14,3,6.6667,17,Docker,ruby
1.75,11,621.278,0,0,7,462,Travis,java
1.75,17,0.0018,162,3,5,9,Docker,systemd
1.75357143,1,21.8894,0,2,5,364,Circle,alpine
1.75694167,8,0.037,81,0,15,28,Docker,alpine
1.76129355,0,79.811,0,1,7.5,54,Circle,scratch
1.766675,3,0.0155,0,1,17,9,Travis,rpi-alpine
1.7667,3,95.0106,31,0.7778,4.2222,65,Docker,alpine
1.77169,8,200.961,0,3,15,762,Circle,alpine-glibc
1.772925,1,123.587,0,1,3,77,Circle,nginx
1.77638409,0,0.7265,575,1,17.3333,8,Docker,java
1.77864375,0,200.961,0,3.7778,15.6667,762,Circle,alpine-glibc
1.7791625,15,0.0004,137,3,3,1,Docker,prometheus
1.7833,5,1.8103,0,0,12.6667,54,Circle,node
