nDockerfileChanges,timeFlag,ageAtCD,totalBuilds,nIssuesOfDockerfile,nLinesOfDockerfile,totalCommits,workflow,baseImage
2,8,3.9063,15,6,30,15,Docker,openjdk
1,4,5.0292,79,4,14,42,Docker,centos
2,9,5.0292,79,4,13,42,Docker,centos
1,16,5.0872,14,9,41,18,Docker,apache2-php7
1,17,5.0872,14,9,41,18,Docker,apache2-php7
1,28,5.0872,14,9,41,18,Docker,apache2-php7
1,6,6.0321,0,2,9,62,Circle,node
2,6,7.6219,0,42.5,84.5,174,Circle,ubuntu
1,1,7.7354,0,1,32,48,Travis,alpine
3,6,7.7354,0,1,39,48,Travis,alpine
2,7,7.7354,0,1,39,48,Travis,alpine
1,9,7.7354,0,1,42.25,48,Travis,alpine
2,12,7.7354,0,1,54,48,Travis,alpine
1,13,7.7354,0,1,54,48,Travis,alpine
1,15,7.7354,0,1,54,48,Travis,alpine
3,6,8.4219,129,3,37.3333,41,Docker,alpine-glibc
1,8,8.4219,129,3,37,41,Docker,alpine-glibc
1,9,8.4219,129,3,37,41,Docker,alpine-glibc
4,10,8.4219,129,2.6667,37,41,Docker,alpine-glibc
1,11,8.4219,129,2,37,41,Docker,alpine-glibc
3,12,8.4219,129,2,37,41,Docker,alpine-glibc
1,14,8.4219,129,2,37,41,Docker,alpine-glibc
1,5,8.7011,0,2,12,28,Travis,alpine
1,8,8.7011,0,2,12,28,Travis,alpine
1,5,10.8772,0,0,3,62,Circle,java
1,4,12.8416,0,10,43,442,Circle,alpine
2,7,12.8416,0,10,43,442,Circle,alpine
2,13,12.8416,0,2,39,442,Circle,alpine
1,22,12.8416,0,2,40,442,Circle,alpine
2,2,13.0814,0,0,12,49,Circle,alpine-ruby
1,23,13.0814,0,0,17,49,Circle,alpine-ruby
1,1,14.1239,97,6.4286,22.2857,27,Docker,atlassian-docker
1,2,14.1239,97,7,23,27,Docker,atlassian-docker
1,3,14.1239,97,7,23,27,Docker,atlassian-docker
2,4,14.1239,97,7,23,27,Docker,atlassian-docker
1,5,14.1239,97,7,23,27,Docker,atlassian-docker
1,7,14.1239,97,7,23,27,Docker,atlassian-docker
1,8,14.1239,97,7,23,27,Docker,atlassian-docker
1,9,14.1239,97,7,23,27,Docker,atlassian-docker
1,12,14.1239,97,6,23,27,Docker,atlassian-docker
1,13,14.1239,97,5,23,27,Docker,atlassian-docker
3,16,14.1239,97,5,23,27,Docker,atlassian-docker
1,18,14.1239,97,5,23,27,Docker,atlassian-docker
1,15,14.898,0,4,15,164,Travis,golang
1,1,16.0888,13,12,27.4286,18,Docker,debian
1,12,16.1885,0,5,37,210,Circle,golang
1,8,19.886,29,4,31,44,Docker,ubuntu-16-nginx-php-phpmyadmin
1,3,19.9254,16,4,10,35,Docker,python
2,6,19.93,0,0,17,88,Circle,alpine
1,0,20.849,32,2,6.5,42,Docker,trusty
1,2,20.9747,0,2,8.5,69,Circle,alpine
1,13,22.5866,936,2,14,31,Docker,node
2,16,22.5866,936,2,14,31,Docker,node
1,15,23.0597,0,1.6667,9.6667,4106,Circle,alpine
2,17,23.0597,0,0,6,4106,Circle,alpine
3,19,23.0597,0,1,2,4106,Circle,alpine
2,2,23.1062,143,1,35,239,Docker,ubuntu
2,2,23.9849,39,1,6,49,Docker,golang
1,4,23.9849,39,1,5,49,Docker,golang
3,4,27.8815,0,1,108,169,Travis,ubuntu
3,1,27.9552,0,1,7,111,Travis,python
1,2,28.0393,87,1,14,17,Docker,python
1,5,28.9605,15,5,59,45,Docker,ubuntu
1,6,29.0707,0,0,3,112,Circle,jetty
1,0,29.172,11,2,9,12,Docker,claw-base
2,6,30.266,111,3,5,174,Docker,base
1,12,30.266,111,3,5,174,Docker,base
1,1,34.8089,48,5,18,22,Docker,node
2,3,34.8089,48,4,18,22,Docker,node
4,0,36.036,0,0,4,1208,Circle,alpine
2,1,39.0562,0,2,14,701,Circle,slidehub-base
4,15,39.0562,0,2,14,701,Circle,slidehub-base
2,17,39.0562,0,2,14,701,Circle,slidehub-base
3,4,42.0784,0,1,9,71,Circle,golang
1,0,51.7653,0,8.625,43.875,40,Circle,ubuntu
1,4,52.0142,78,3,31,62,Docker,alpine
2,14,52.0142,78,2.5,31,62,Docker,alpine
1,4,60.9955,0,0,6,376,Travis,alpine-node
1,4,62.2769,39,4,15,31,Docker,elasticsearch
3,13,64.9491,0,1,57,1606,Circle,ubuntu
1,19,64.9491,0,1,56.6667,1606,Circle,ubuntu
2,5,65.0834,43,1,25.5,383,Docker,node
1,2,65.8406,15,0,2,34,Docker,node
1,0,65.8492,44,2,2,27,Docker,alpine-golang-make-onbuild
2,4,68.9188,87,10.7143,30.2857,69,Docker,baseimage
4,7,68.9188,87,17,38,69,Docker,baseimage
2,7,70.3905,0,0,1,179,Travis,docker-rails
2,7,71.8883,0,1,70,285,Circle,fedora
2,1,76.1552,0,7,36,71,Circle,base
1,7,79.9721,0,6,12,126,Travis,golang
1,11,82.3704,0,0,8,71,Circle,node
2,4,82.9521,0,1,8,927,Travis,lewis-depends
2,1,94.7589,0,3,22,293,Circle,core-box
2,2,94.7589,0,3,22,293,Circle,core-box
1,3,94.7589,0,3,22,293,Circle,core-box
1,5,94.7589,0,4.5,17,293,Circle,core-box
1,7,94.7589,0,4,17,293,Circle,core-box
1,0,97.8665,0,0.75,15.25,52,Circle,alpine
1,4,97.8665,0,0,18,52,Circle,alpine
2,6,97.8665,0,0,18,52,Circle,alpine
2,8,97.8665,0,0,19,52,Circle,alpine
1,9,97.8665,0,0,21,52,Circle,alpine
2,12,97.8665,0,0,23,52,Circle,alpine
1,0,97.927,0,1,2,111,Circle,baseimage
2,2,98.0739,0,4,17,55,Circle,node
3,8,98.0739,0,4,17.6667,55,Circle,node
1,14,114.074,20,1,47,8,Docker,alpine
1,17,114.074,20,1,47,8,Docker,alpine
1,0,122.77,0,0,7,99,Circle,node
1,4,123.565,0,0,7,52,Circle,node
1,4,123.587,0,0,4,77,Circle,nginx
4,8,124.152,186,1,79,503,Docker,debian
1,10,131.033,0,0,7,47,Travis,node
2,1,133.589,25,1,13,89,Docker,base
1,2,133.589,25,1,13,89,Docker,base
2,19,139.006,0,1,2,174,Travis,ubuntu
1,2,139.956,0,0,8,363,Circle,busybox
1,2,141.097,262,8,10,515,Docker,python
1,6,141.097,262,8.4444,10.6667,515,Docker,python
2,0,146.595,0,4,9,273,Travis,websphere-liberty
1,7,146.595,0,6,24,273,Travis,websphere-liberty
4,7,160.07,0,1,9,562,Travis,node
1,16,162.763,12,7,14,15,Docker,debian
1,6,170.079,0,5,6,240,Travis,node
2,2,182.067,0,0,8,893,Circle,node
4,9,183.34,0,1.25,10.75,846,Travis,node
1,0,184.718,0,4.4667,22.2333,64,Travis,nginx
2,20,191.971,0,1,3,200,Circle,docker-tomcat-ffmpeg
1,8,194.171,0,1,7,376,Travis,alpine-java
2,2,200.918,0,0.4,12.8,180,Circle,alpine
1,11,200.918,0,2,51,180,Circle,alpine
2,5,204.008,0,8,16,448,Travis,nginx
1,3,208.122,0,5,17,99,Circle,core-box
1,4,208.122,0,4,17,99,Circle,core-box
2,8,208.122,0,4,17,99,Circle,core-box
3,6,209.99,42,1.6667,11.6667,39,Docker,alpine
4,1,212.258,0,0,3,155,Circle,nginx
1,7,217.199,0,2,23,400,Travis,websphere-liberty
2,7,218.159,0,2,18,211,Travis,haproxy
1,7,220.16,0,4,17,91,Circle,core-box
1,8,220.16,0,4,17,91,Circle,core-box
1,9,220.16,0,4,17,91,Circle,core-box
2,3,225.289,0,4.6667,17,99,Circle,core-box
1,9,225.289,0,4,17,99,Circle,core-box
1,0,226.105,0,1,9.1818,372,Travis,node
1,12,226.105,0,1,9,372,Travis,node
2,0,226.178,0,4.2258,9.6452,342,Travis,websphere-liberty
1,7,226.178,0,6,25,342,Travis,websphere-liberty
2,9,228.727,0,4,16,51,Circle,core-box
1,13,235.081,0,9,15,208,Circle,alpine
1,1,237.925,0,2,5,144,Travis,alpine-node
1,2,237.925,0,2,5,144,Travis,alpine-node
1,6,237.925,0,2,5,144,Travis,alpine-node
1,6,242.423,0,4,25,581,Travis,alpine
1,8,262.027,0,0,7,819,Travis,java
1,9,262.027,0,0,7,819,Travis,java
1,10,262.027,0,0,7,819,Travis,java
2,1,265.887,0,4.25,15.5,47,Circle,core-box
1,6,265.887,0,4,14.5,47,Circle,core-box
