nSuccessBuild,timeFlag,ageAtCD,totalBuilds,nIssuesOfDockerfile,nLinesOfDockerfile,totalCommits,workflow,baseImage
9,0,0.0282,17,4.8,24.8,5,Docker,ubuntu
9,0,0.0439,21,13,46.25,34,Docker,debian
9,0,0.0512,17,0,4.6667,13,Docker,nginx
9,0,0.0965,0,2.0625,9,85,Circle,centos
9,0,1.4688,32,1.25,10.5,42,Docker,node
9,0,2.0215,33,3,7,1,Docker,python
9,0,2.1497,0,4.6667,14.3333,47,Circle,core-box
9,0,3.7266,22,3.4444,22.1111,14,Docker,php
9,0,8.7011,0,1.3333,7.4444,28,Travis,alpine
9,0,25.4439,0,2,6.5,32,Circle,scratch
9,0,39.9654,254,2,15.4,41,Docker,centos
9,0,42.0784,0,1,8.2,71,Circle,golang
9,0,51.8739,80,4.1111,36.1111,103,Docker,php
9,0,73.9178,0,3.8,10.4,49,Circle,alpine
9,0,95.0106,31,0.7778,4.2222,65,Docker,alpine
9,0,160.07,0,1,9,562,Travis,node
9,0,281.928,0,3,22,126,Circle,core-box
9,0,303.244,14,3,12.75,17,Docker,python
9,0,353.239,0,1.4286,50.2857,302,Travis,ubuntu
9,0,427.735,0,0,7,101,Travis,java
9,0,458.166,0,2.875,5.875,1837,Circle,meteor-base
9,0,535.883,0,4.75,6.25,534,Circle,cymetric-deps
9,0,574.018,48,11.5,16.5,708,Docker,fedora
9,0,938.294,224,2.8056,14.8333,340,Docker,base
9,0,1380.53,0,1,10,336,Circle,ruby
10,0,0.002,187,10,22,1,Docker,apache
10,0,0.0036,14,6,11,4,Docker,spidervnc-base
10,0,0.0055,18,10.4615,37.7692,16,Docker,distributed
10,0,0.0112,14,5,9,15,Docker,node
10,0,0.0129,74,16,29.6,112,Docker,ubuntu
10,0,0.0139,13,5.8333,5,14,Docker,ubuntu
10,0,0.0184,34,2.6667,9,3,Docker,jenkins
10,0,0.1559,0,2,4,55,Circle,alpine
10,0,0.1948,11,5,7,1,Docker,ubuntu
10,0,1.0026,0,3,18.8333,16,Travis,rpi-node
10,0,4.1674,12,0.1111,1,23,Docker,kube-apiserver-amd64
10,0,8.5805,0,3,8,31,Circle,nodejs
10,0,15.4399,0,3.2,9.2,100,Travis,alpine
10,0,34.8089,48,5,17.8,22,Docker,node
10,0,110.865,0,1,5.3333,197,Travis,java
10,0,225.289,0,3,22,99,Circle,core-box
10,0,285.101,0,1.5,4,239,Travis,golang
10,0,493.228,0,4.25,20.5,266,Circle,meteor-base
10,0,502.771,29,7.2727,11.1818,45,Docker,ubuntu
10,0,521.417,0,1,10.5,141,Travis,node
10,0,1043.6,12,10.9286,15.5714,25,Docker,debian
10,0,1312.99,0,22.5926,33.0741,51,Travis,ubuntu
11,0,0,11,6,15,1,Docker,baseimage
11,0,0.0008,0,7.9,15,401,Circle,docker-perl-app-base
11,0,0.0009,25,2,4,13,Docker,alpine
11,0,0.0022,11,2.4,9.6,11,Docker,alpine
11,0,0.004,11,11.7143,16.2857,11,Docker,ubuntu
11,0,0.0045,418,3,9,5,Docker,golang
11,0,0.005,32,10,23,25,Docker,baseimage
11,0,0.0053,318,2,6,7,Docker,debian
11,0,0.0077,57,3.5,20.8,59,Docker,jenkernetes
11,0,0.0096,19,4,18.5,22,Docker,baseimage
11,0,0.0113,0,1,9,39,Circle,golang
11,0,0.0145,15,2.6667,8.6667,16,Docker,jenkins-docker
11,0,0.0147,12,2.9091,4.8182,12,Docker,debian
11,0,0.0162,0,1,12,23,Circle,node
11,0,0.0165,26,1,44.375,41,Docker,openjdk
11,0,0.0168,95,0.5,5,5,Docker,centos
11,0,0.022,12,1,12,8,Docker,tomcat
11,0,0.0319,36,3.5714,18.2857,16,Docker,d-node
11,0,0.0342,65,2.6667,8,5,Docker,elk
11,0,0.0464,30,6.8,32.2,13,Docker,php
11,0,0.0472,14,0.7333,16.2667,10,Docker,ubuntu-ruby
11,0,0.0489,14,19.0714,31.8571,18,Docker,ubuntu
11,0,0.052,47,4,14,7,Docker,ubuntu
11,0,0.0813,0,9.875,28.25,44,Travis,php
11,0,0.0963,0,1,7,21,Circle,golang
11,0,0.3536,0,7,19.3333,32,Travis,ruby
11,0,0.3592,11,1,5.6667,25,Docker,python
11,0,2.882,61,11,32.1667,12,Docker,alpn-consul
11,0,3.493,0,1.2857,12,80,Circle,node
11,0,5.1043,12,3.9333,18.0667,43,Docker,debian
11,0,6.2188,20,7,20.5,31,Docker,ruby
11,0,6.9966,19,1.5714,12.5714,39,Docker,golang
11,0,13.8249,22,5.2,17,48,Docker,ubuntu
11,0,27.9165,33,1.5,30.4,38,Docker,alpine-nginx
11,0,37.9017,0,2.8571,13,82,Circle,nodejs
11,0,37.9807,0,4,14,108,Circle,baseimage
11,0,52.0142,78,2.1429,31,62,Docker,alpine
11,0,124.152,186,0.9615,42.6154,503,Docker,debian
11,0,139.006,0,12.3846,39.2308,174,Travis,ubuntu
11,0,255.937,0,1,7,308,Travis,alpine
11,0,587.536,60,9.5294,27.1765,21,Docker,debian
11,0,645.817,55,7.3333,29.7778,273,Docker,node
11,0,701.089,0,8.1667,9.5,832,Travis,golang
11,0,743.81,0,4.7778,22.9444,167,Travis,python
11,0,821.945,0,2.6923,7.4615,262,Travis,java
11,0,1183.89,0,3.875,24.375,103,Circle,python
12,0,0.0006,12,1.6667,5,14,Docker,docker-cluster
12,0,0.0007,190,2,16,14,Docker,haproxy
12,0,0.001,12,12,38.2,12,Docker,debian
12,0,0.002,111,3,6,5,Docker,ubuntu
12,0,0.0022,26,7.64,7.44,27,Docker,ruby-firefox-xvfb
12,0,0.0047,57,3,17,1,Docker,centos
12,0,0.0056,22,3.25,11.625,29,Docker,zulu-openjdk
12,0,0.0076,22,3,11,14,Docker,arch-base
12,0,0.0177,0,5.5714,12.7857,32,Travis,fedora
12,0,0.0195,28,4.5,8.5,3,Docker,collectd
12,0,0.0217,18,2.8889,50.1111,23,Docker,baseimage
12,0,0.0305,29,1,25.25,31,Docker,debian
12,0,0.0341,14,6.9697,42.5758,189,Docker,baseimage
12,0,0.7614,0,0,4.8333,43,Circle,java
12,0,0.7811,32,2,11.5,24,Docker,ubuntu-perl-phatch
12,0,0.8582,12,4.8,47.6,16,Docker,nginx-18-centos7
12,0,1.0056,29,15.6429,52.8571,54,Docker,ubuntu
12,0,1.5431,0,1,8,38,Circle,ruby-base
12,0,1.9225,0,1.8,6.2,17,Travis,ruby
12,0,2.1284,0,2.2941,6.9412,49,Circle,ubuntu
12,0,4.1009,0,2,5,43,Circle,node
12,0,7.0062,13,2,7,12,Docker,ruby
12,0,9.2859,0,1,6,121,Circle,ruby
12,0,16.672,0,3,7,65,Circle,ubuntu
12,0,19.886,29,3.7778,25.6667,44,Docker,ubuntu-16-nginx-php-phpmyadmin
12,0,377.098,0,3.4444,9.4444,178,Circle,alpine-node
12,0,1392.17,0,2,10.5,876,Travis,scratch
13,0,0.0029,248,1,8,2,Docker,tomcat
13,0,0.003,15,1,11.6667,22,Docker,dotnet
13,0,0.0035,243,1,11.5,27,Docker,alpine
13,0,0.0064,16,5.375,16.125,20,Docker,debian
13,0,0.0072,14,6.1818,27.0909,17,Docker,ubuntu
13,0,0.0107,31,1,32.6667,31,Docker,debian
13,0,0.0115,20,4,11,6,Docker,ubuntu
13,0,0.0305,18,6,8,18,Docker,node
13,0,0.0424,15,0,4.5,9,Docker,centos
13,0,0.0552,0,4.8889,11.3333,100,Circle,ubuntu
13,0,0.0758,25,5,13,5,Docker,ubuntu-debootstrap
13,0,0.1206,18,1,24,20,Docker,base-centos7
13,0,0.4417,0,1,5,57,Travis,java
13,0,0.9189,18,3.4,28.6,13,Docker,alpine
13,0,1.0491,0,1,6,34,Circle,node
13,0,1.1463,0,1,4,52,Circle,wildfly
13,0,1.275,31,6.0714,29.3571,27,Docker,ubuntu
13,0,1.9021,144,10.4211,12.5263,59,Docker,mercury-depend
13,0,2.8878,0,7,21,47,Travis,java
13,0,7.6219,0,24.2857,49.8571,174,Circle,ubuntu
13,0,20.8866,0,3,8.3333,64,Circle,alpine
13,0,30.266,111,2.4,4.4,174,Docker,base
13,0,36.0031,0,0.5,2.75,36,Travis,node
13,0,36.5658,15,1,27,29,Docker,python
13,0,146.273,14,4.0769,22.1538,12,Docker,laravel-container
13,0,191.971,0,1.8889,8.5556,200,Circle,docker-tomcat-ffmpeg
13,0,267.745,0,3,20,181,Circle,core-box
13,0,442.618,0,10.8462,53.2308,105,Travis,arm-pyinstaller
13,0,489.985,0,0.9091,7.4545,284,Travis,node
13,0,1711.77,24,5.8571,31.2857,135,Docker,python
14,0,0.0031,94,2,7,1,Docker,alpine
14,0,0.0059,196,1.3333,4,5,Docker,alpine
14,0,0.0164,49,5,10.75,4,Docker,baseimage
14,0,0.0287,88,1.7647,15,19,Docker,nodejs
14,0,0.0537,141,2,9,29,Docker,oracle-jdk
14,0,0.1468,0,5.6154,10.1538,40,Circle,nginx
14,0,0.2242,16,0,2,17,Docker,node
14,0,0.489,21,2,39.3333,29,Docker,java
14,0,0.9334,23,0,9,23,Docker,elasticsearch
14,0,0.9345,0,2,20,1123,Circle,centos
14,0,3.7996,0,5.6364,10.2727,53,Circle,ruby
14,0,5.0218,25,6.5,21.2143,24,Docker,ubuntu
14,0,6.0182,129,13,20,141,Docker,debian
14,0,144.806,15,3,16,22,Docker,alpine
14,0,228.727,0,3,21,51,Circle,core-box
14,0,237.925,0,2,5,144,Travis,alpine-node
14,0,526.678,0,1,36.3333,46,Travis,alpine
14,0,1052.01,0,4.7077,17.0462,3338,Travis,<DOCKER_IMAGE>
14,0,1116.14,0,1,4,1625,Circle,cyclus
15,0,0,0,8.7826,62.4348,62,Circle,php
15,0,0,411,2,7,1,Docker,python
15,0,0.0029,754,4,8,6,Docker,gitlab-ce
15,0,0.003,17,1,19.2381,25,Docker,ubuntu
15,0,0.0039,35,1.2,29.4,16,Docker,alpine
15,0,0.009,267,3.1538,29.4615,24,Docker,ubuntu
15,0,0.0101,77,6.2143,21.8571,35,Docker,base-debian
15,0,0.013,34,0.5,8.5,27,Docker,node
15,0,0.0582,17,1,18.3333,14,Docker,ubuntu-base
15,0,0.099,0,1,4,13,Travis,archlinux
15,0,0.1307,0,1.25,6.75,34,Circle,result-processing
15,0,0.1732,229,5.0588,27.6765,44,Docker,baseimage
15,0,0.4726,0,5.5,24.25,42,Travis,chrome-headless-browser
15,0,1.266,0,1,42.5909,25,Circle,ubuntu-debootstrap
15,0,2.3135,0,1,3.6,36,Circle,tomcat
15,0,4.0829,0,4,11.6,80,Circle,ubuntu
15,0,7.178,0,4,4,34,Circle,ubuntu
15,0,7.8564,0,1.5833,6.6667,164,Circle,jetty
15,0,12.0513,0,2.7826,13.6618,63,Travis,php
15,0,16.2142,347,4.5556,5.1111,32,Docker,nginx
